trace_date,Date & Time of Capture:,please see ControlDesk_Capture.DateTime
trace_headlines,DSP Program Name:,please see ControlDesk_RTProgram.ObjectFile
,Date & Time of DSP Program:,please see ControlDesk_RTProgram.DateTime
,Interval:,please see ControlDesk_Capture.Length
,Delay:,please see ControlDesk_Capture.TriggerDelay
,Downsampling:,please see ControlDesk_Capture.Downsamping
,Time Base:,please see ControlDesk_Capture.SamplingPeriod
,Trigger Signal:,please see ControlDesk_Capture.TriggerSignal
,Trigger Edge:,please see ControlDesk_Capture.TriggerEdge
,Trigger Level:,please see ControlDesk_Capture.TriggerLevel

ControlDesk_Description,"Description",
,"Author",
,"GeneratorVersion","ControlDesk CSV File Format Revision 1.0"

ControlDesk_RTProgram,"BoardName","ds1005"
,"DateTime","11/17/2020 20:42:02"
,"ObjectFile","d:\Program Files\MATLAB\R2006a\work\xzx_11_06_B\mpc_newpm.ppc"

ControlDesk_Capture,"Length","1"
,"Downsampling","1"
,"DateTime","11/17/2020 21:01:31"
,"Task","1"
,"SamplingPeriod","5e-005"
,"TriggerState","off"
,"TriggerSignal",
,"TriggerDelay","0"
,"TriggerLevel","0"
,"TriggerEdge","neg"


trace_size,20001
trace_types,4,5,5,5,5,5,5,5,5,5,5,5,5
trace_names,,"""Model Root""/""Goto1""/""In1""","""Model Root""/""Goto12""/""In1""","""Model Root""/""Goto14""/""In1""","""Model Root""/""Goto15""/""In1""","""Model Root""/""Goto2""/""In1""","""Model Root""/""Goto3""/""In1""","""Model Root""/""Goto33""/""In1""","""Model Root""/""Goto4""/""In1""","""Model Root""/""Goto5""/""In1""","""Model Root""/""Goto6""/""In1""","""Model Root""/""Goto8""/""In1""","""Model Root""/""Goto9""/""In1"""
trace_units,,,,,,,,,,,,,
,0.00105,0.0361124674,-0.012974196,0.0020588041,0.00037758201,-0.28449463,0.10086563,-0.32687419,0.20578403,99.31043914,60.20591984,19.0641767,0.056437766
,0.00110001,0.0361124674,-0.022141077,0.0020800457,0.00035985284,-0.30178792,0.1060646,-0.35077962,0.21890571,99.31043914,60.20694802,19.0634859,0.044211317
,0.00115002,0.0350952148,-0.0029771793,0.0020800457,0.00035985284,-0.21226969,0.047344255,-0.350271,0.220431,99.31043914,60.20620307,19.06340362,-0.027046471
,0.0012,0.0350952148,-0.015410357,0.0020800457,0.00035985284,-0.15225179,0.0019027635,-0.37214193,0.23536089,99.31043914,60.20710146,19.06300235,-0.031079763
,0.00125001,0.0350952148,-0.012799712,0.0021654197,0.00049178122,-0.19141602,0.028845776,-0.37315918,0.23440952,99.31043914,60.20725289,19.06297016,-0.0044695114
,0.00130002,0.0340779622,-0.017973755,0.0021654197,0.00049178122,-0.30738281,0.11070816,-0.3599349,0.22083175,99.31043914,60.20613376,19.06240226,0.05404498
,0.00135,0.0350952148,-0.031742552,0.0022027368,0.00050069906,-0.32416748,0.11636454,-0.38384033,0.23438067,99.31043914,60.20725824,19.06154468,0.038972855
,0.00140001,0.0340779622,-0.00228666,0.0022027368,0.00050069906,-0.233632,0.057852622,-0.38078857,0.2358798,99.31043914,60.20638146,19.06148589,-0.027856771
,0.00145002,0.0361124674,-0.015649387,0.0022027368,0.00050069906,-0.12936361,-0.0011798421,-0.35179687,0.22475976,99.31043914,60.20735692,19.06109015,-0.032224096
,0.0015,0.0356038411,-0.013506834,0.0022201931,0.00050281942,-0.07392334,-0.042984699,-0.37265055,0.24018105,99.31043914,60.20752102,19.06104189,-0.0046964843
,0.00155001,0.0356038411,0.013863752,0.0022201931,0.00050281942,-0.1252946,-0.010519166,-0.38282308,0.24348962,99.36855941,60.20703058,19.06112895,0.018201324
,0.00160002,0.0361124674,-0.013963172,0.0022201931,0.00050281942,-0.24685628,0.07398045,-0.37417643,0.23093517,99.36855941,60.20607967,19.06060673,0.057933892
,0.00165,0.0361124674,-0.027708317,0.0022611992,0.00049825883,-0.26567546,0.082181811,-0.39401286,0.24136736,99.36855941,60.20710547,19.05979498,0.039319306
,0.00170001,0.0340779622,-0.0050748018,0.0022611992,0.00049825883,-0.17819173,0.026248469,-0.38790934,0.24221788,99.36855941,60.20632772,19.05965717,-0.026804805
,0.00175002,0.0361124674,-0.016539503,0.0022611992,0.00049825883,-0.12173421,-0.014739007,-0.40876302,0.26001613,99.36855941,60.20716078,19.05922136,-0.031290886
,0.0018,0.0340779622,-0.011848606,0.0023690969,0.00063383038,-0.17920898,0.020184061,-0.42249593,0.26301935,99.36855941,60.20733103,19.05916115,-0.0049649952
,0.00185001,0.0350952148,-0.014463899,0.0023690969,0.00063383038,-0.29568441,0.1030082,-0.40723714,0.24484416,99.36855941,60.20618483,19.05871028,0.059012451
,0.00190002,0.0356038411,-0.030130386,0.0023930299,0.00061403629,-0.31908122,0.11333209,-0.43266846,0.25827796,99.36855941,60.20740092,19.05791815,0.039685083
,0.00195,0.03712972,-0.0017883112,0.0023930299,0.00061403629,-0.20006266,0.045027934,-0.39960775,0.24841465,99.36855941,60.20657818,19.05787216,-0.025902376
,0.00200001,0.0361124674,-0.027442242,0.0023930299,0.00061403629,-0.12834635,-0.00035977223,-0.39503011,0.25124148,99.36855941,60.20779078,19.05716214,-0.045049838
,0.00205002,0.0361124674,-0.026122299,0.0025517191,0.00074316381,-0.075449219,-0.038082994,-0.41130615,0.26620915,99.36855941,60.20848648,19.05700388,-0.019835119
,0.0021,0.0350952148,0.01236317,0.0025517191,0.00074316381,-0.13851888,0.00042862713,-0.42758219,0.26988434,99.36855941,60.20789292,19.05712983,0.021920317
,0.00215001,0.0340779622,-0.014012046,0.0025517191,0.00074316381,-0.25753743,0.083037222,-0.41181478,0.24793954,99.36855941,60.20697545,19.05661535,0.060926378
,0.00220002,0.0350952148,-0.026344423,0.0025722182,0.00068680553,-0.28246012,0.095099849,-0.43673747,0.2610113,99.36855941,60.20803711,19.05586325,0.038534005
,0.00225,0.0391642252,-0.0018259399,0.0025722182,0.00068680553,-0.22956299,0.058773199,-0.4586084,0.28162599,99.36855941,60.20729165,19.05581349,-0.025479506
,0.00230001,0.0350952148,0.0028409184,0.0025722182,0.00068680553,-0.1059668,-0.0097666894,-0.40011637,0.25621273,99.36855941,60.20763416,19.05589005,-0.01461607
